blockchain,block_date,block_time,tx_hash,token_category,safe_sender,receiver,receiver_type,receiver_contract_name,receiver_label_names,receiver_label_categories,receiver_label_models,receiver_ens,receiver_name,event_name,symbol,token_address,amount,amount_usd,vertical,protocol
ethereum,2023-05-26,2023-05-26 02:43:11.000 UTC,0xd1f20d0c01c4ed8151f43e6b4b0752e38f7252b17be5fbefaca7721b2ae3f8dc,native,0x972babcb9ecf5b18175bfcda4d789997a6f4d401,0x4f9d93fe47ec65242b23f76076a991922e87d531,EOA,<nil>,<nil>,<nil>,<nil>,520531.eth,520531.eth,<nil>,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.029,52.366170000000004,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2023-05-24,2023-05-24 21:27:35.000 UTC,0x6c291c964ddb8ee18236e296ccbc8cfdef4ca3de4b9d6c4a40c1f51ab55149fd,native,0x57642b142a4e59be40b2478372b9c5464edf4a3a,0xf911f24d3033e6e0948020ace70c003943d3a92e,EOA,<nil>,<nil>,<nil>,<nil>,micho.eth,micho.eth,<nil>,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,1.2,2169.408,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-06-16,2024-06-16 01:11:59.000 UTC,0xebe7692d15a5b0be7aedf418b5ebdca0e45024377a59abe39df27359f41583d9,native,0xafbd66706f90bc56d29c39a260930b34b2757ed8,0x00c452affee3a17d9cecc1bcd2b8d5c7635c4cb9,Smart contract,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.55,1959.463,unclassified transfer to Smart contract,unclassified transfer to Smart contract
ethereum,2024-06-03,2024-06-03 17:38:11.000 UTC,0x2a6fd3451dcc2aada53b09eb569ff0a812154a9c8492d8076fd5e5f651757ba5,native,0xcdbb98b45b0068ef6f4e37ccf02d1f11979db835,0x15569beb055432313868661d131355d623efda3a,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.3,1133.211,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-11,2024-11-11 18:18:47.000 UTC,0xd5d12a34ac518ce8841689fa6c86a6a719e290e6a3d8afb3e4f3255248caa02d,native,0x10852dbdc5d65a6cda9ee789f6d7d2cec419bb97,0xb328b47891f54e43f0e6a0ea4f53538f1700de1c,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.042,138.18336,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2023-03-14,2023-03-14 03:33:23.000 UTC,0x4a71eab315bb42ae9b5ea2d847e790f9a92a5854ea6649dad0d50b7eb9327d3e,stablecoin,0x7b065fcb0760df0cea8cfd144e08554f3cea73d1,0xe1f1e566ce66f31478e2391bdc12e08ec988981b,Safe,Safe,<nil>,<nil>,<nil>,<nil>,Gnosis_safe,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,20000,19936.96,unclassified transfer to Safe,Safe
ethereum,2023-05-12,2023-05-12 04:58:59.000 UTC,0xb86166892c7f39fa9b9e15eb196338ddb2820540bc41040fc206313a2fca6493,stablecoin,0x7c959efc2bba9176ae971a46d1d01537cab9a6e1,0xcf9c8ebd97a24ac8edf5e6b465e967dc32c3bf18,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,952,952.436968,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2023-05-11,2023-05-11 09:44:23.000 UTC,0x2b65f2c91deaf6dbf411d291841e5dabd5ed9c15eb9ff1ce5df970597d95c7a9,stablecoin,0x7c959efc2bba9176ae971a46d1d01537cab9a6e1,0xcf9c8ebd97a24ac8edf5e6b465e967dc32c3bf18,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2100,2101.7493000000004,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2023-11-16,2023-11-16 04:53:11.000 UTC,0x52bf36e43d9c019dcbbc14164e4d94f0a08abbe90115fb4fa2ad10f1491094c2,stablecoin,0xb56330b0979d573f1ffd14983e3f328f3686bcc4,0xf24eb5f46b4defc993f441b48108c5767209c37f,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,35.97,35.97690624,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-03,2024-11-03 01:38:11.000 UTC,0x688aabb279f2232f75a7cfd59dc54ef789c6fd3615678f8a6042c7a3d70a13b9,stablecoin,0x2a2aa113a317f23d67e3e9d9441802c1582ff9de,0x4b909edb085ac60aa3327abd45c9952f7597a6ec,Safe,Safe_test: Safe_v_4_1,<nil>,<nil>,<nil>,<nil>,Safe_test,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1635,1636.888425,unclassified transfer to Safe,Safe_test: Safe_v_4_1
ethereum,2023-05-03,2023-05-03 06:49:59.000 UTC,0x2cb3f547ee8d93183ac7c9f22f513618a3da600dbbf1c5254470cb9ed5890cf8,stablecoin,0x437da84cb6a35457483fcfb1ee2eba73ebd30c4b,0x55f9eb78274989c9279b4d927dcb7e42228487db,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,100000,100074.2,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2023-04-03,2023-04-03 16:53:47.000 UTC,0x3c9a5e376dfad00b7af7f6222b0e6dfa9a409f1bbbb3ed32ffe7eed8c9638b4f,stablecoin,0x7c959efc2bba9176ae971a46d1d01537cab9a6e1,0xcf9c8ebd97a24ac8edf5e6b465e967dc32c3bf18,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,9248,9248.906304,unclassified transfer to EOA,unclassified transfer to EOA
